brand,weight,idnumber
Morning,14.9982,61469897
Rise n Shine,15.0136,33081197
Morning,15.01,68137597
Rise n Shine,14.9982,37070397
Morning,15.0052,64608797
Rise n Shine,14.993,60714297
Morning,14.9733,16907997
Rise n Shine,15.0812,9589297
Morning,15.0037,93891897
Rise n Shine,15.0418,85859397
Morning,14.9957,38152597
Rise n Shine,15.0639,99108497
Morning,15.0099,59666697
Rise n Shine,15.0613,70847197
Morning,14.9943,47613397
Rise n Shine,15.0255,53750297
Morning,14.9779,95948597
Rise n Shine,15.0176,3873197
Morning,14.9862,25756097
Rise n Shine,15.0122,43493297
Morning,14.9907,27543197
Rise n Shine,15.0122,26212897
Morning,14.9785,8945097
Rise n Shine,15.0322,51799397
Morning,15.0716,39196697
Rise n Shine,15.0164,48154497
Morning,14.9787,55189597
Rise n Shine,15.0093,46028397
Morning,14.9935,75332897
Rise n Shine,15.0156,29520797
Morning,15.027,55983497
Rise n Shine,15.0393,93236497
Morning,14.9855,6975697
Rise n Shine,15.0298,29686297
Morning,14.9982,76815697
Rise n Shine,15.0204,64045497
Morning,15.0194,9880297
Rise n Shine,15.0633,23048597
Morning,14.972,76058697
Rise n Shine,15.0464,42586897
Morning,14.9793,62688897
Rise n Shine,15.0858,73461797
Morning,15.0304,44327297
Rise n Shine,15.0418,2854197
Morning,15.0187,42401697
Rise n Shine,15.0101,51266697
Morning,15.0134,61195297
Rise n Shine,15.058,71681397
Morning,14.993,43230697
Rise n Shine,15.055,6520097
Morning,14.969,61728297
Rise n Shine,15.05,64179097
Morning,14.9955,20494697
Rise n Shine,15.0868,40177297
Morning,15.0032,43183797
Rise n Shine,15.0196,47146397
Morning,14.9737,60633297
Rise n Shine,15.0413,72168497
Morning,15.0254,98377897
Rise n Shine,15.0267,20745097
Morning,14.9885,91775997
Rise n Shine,15.0374,82634897
Morning,15.0223,73772397
Rise n Shine,15.0437,20755897
Morning,15.0057,57288097
Rise n Shine,15.0194,55860697
Morning,15.0039,65246997
Rise n Shine,15.0623,81994397
Morning,14.9515,76526697
Rise n Shine,15.098,23573597
Morning,14.9894,61160997
Rise n Shine,15.0234,23359697
Morning,15.0169,19108097
Rise n Shine,14.9831,30834797
Morning,14.9803,46806897
Rise n Shine,15.0435,62919297
Morning,14.973,37534197
Rise n Shine,15.0497,4440297
Morning,14.9779,2012997
Rise n Shine,15.0096,59149297
