Date,Contracts,HStarts,IntRate
01JAN1983,11358,91.3,13
01FEB1983,11355,96.3,12.62
01MAR1983,16100,134.6,12.97
01APR1983,16315,135.8,12.02
01MAY1983,19205,174.9,12.21
01JUN1983,20263,173.2,11.9
01JUL1983,16885,161.6,12.02
01AUG1983,19441,176.8,12.01
01SEP1983,17379,154.9,12.08
01OCT1983,16028,159.3,11.8
01NOV1983,15401,136,11.82
01DEC1983,13518,108.3,11.94
01JAN1984,14023,109.1,11.8
01FEB1984,14442,130,11.78
01MAR1984,17916,137.5,11.56
01APR1984,17655,172.7,11.55
01MAY1984,21990,180.7,11.68
01JUN1984,20036,184,11.61
01JUL1984,19224,162.1,11.91
01AUG1984,19367,147.4,11.89
01SEP1984,16923,148.5,12.03
01OCT1984,18413,152.3,12.27
01NOV1984,16616,126.2,12.27
01DEC1984,14220,98.9,12.05
01JAN1985,15154,105.4,11.77
01FEB1985,13652,95.8,11.74
01MAR1985,20004,145.2,11.42
01APR1985,20692,176,11.55
01MAY1985,22532,170.5,11.55
01JUN1985,20043,163.4,11.31
01JUL1985,22047,160.7,10.94
01AUG1985,21055,160.7,10.78
01SEP1985,20541,147.7,10.69
01OCT1985,21715,173,10.64
01NOV1985,17691,124.1,10.55
01DEC1985,16276,120.5,10.47
01JAN1986,15417,115.6,10.4
01FEB1986,16152,107.2,10.21
01MAR1986,19617,151,10.04
01APR1986,23754,188.2,9.87
01MAY1986,23050,186.6,9.84
01JUN1986,23740,183.6,9.74
01JUL1986,23621,172,9.89
01AUG1986,21884,163.8,9.84
01SEP1986,21763,154,9.74
01OCT1986,21862,154.8,9.57
01NOV1986,17998,115.6,9.45
01DEC1986,17982,113,9.28
01JAN1987,16694,105.1,9.14
01FEB1987,15729,102.8,8.87
01MAR1987,22622,141.2,8.77
01APR1987,23077,159.3,8.84
01MAY1987,22054,158,8.99
01JUN1987,25703,162.9,9.05
01JUL1987,24567,152.4,9.01
01AUG1987,23836,143.6,9.01
01SEP1987,22418,152,9.03
01OCT1987,23360,139.1,8.86
01NOV1987,18663,118.8,8.92
01DEC1987,19224,85.4,8.78
01JAN1988,15113,78.2,8.75
01FEB1988,17496,90.2,8.76
01MAR1988,22257,128.8,8.77
01APR1988,22344,153.2,8.76
01MAY1988,24138,140.2,8.59
01JUN1988,26940,150.2,8.9
01JUL1988,22309,137,8.8
01AUG1988,24826,136.8,8.68
01SEP1988,22670,131.1,8.9
01OCT1988,22223,135.1,8.77
01NOV1988,19767,113,9.05
01DEC1988,19125,94.2,9.04
01JAN1989,15776,100.1,9.2
01FEB1989,15086,85.8,9.46
01MAR1989,21080,117.8,9.63
01APR1989,21725,129.4,9.88
01MAY1989,23796,131.7,9.82
01JUN1989,24650,143.2,10.09
01JUL1989,22330,134.7,10.06
01AUG1989,24128,122.4,9.83
01SEP1989,23371,109.3,9.87
01OCT1989,22669,130.1,9.77
