Nflights,Passengers,DATE
18592,37208190,1990JAN
18168,36078394,1990FEB
18218,44154535,1990MAR
17334,41355578,1990APR
17375,41234923,1990MAY
18232,44190605,1990JUN
17770,46036310,1990JUL
17361,48866148,1990AUG
19074,38989264,1990SEP
17671,41247525,1990OCT
16902,39346113,1990NOV
19386,39342008,1990DEC
19046,36716670,1991JAN
16961,33688621,1991FEB
17005,39477477,1991MAR
17698,39878137,1991APR
16761,41018839,1991MAY
17259,43166181,1991JUN
16804,45727485,1991JUL
16682,47802583,1991AUG
17811,38628284,1991SEP
17301,41170282,1991OCT
16594,37451867,1991NOV
18696,41159310,1991DEC
18403,36719242,1992JAN
17089,35757887,1992FEB
17413,41861145,1992MAR
17501,39651142,1992APR
16566,41800746,1992MAY
17919,47431207,1992JUN
17825,51806387,1992JUL
17614,53163782,1992AUG
19318,42510606,1992SEP
17397,42253840,1992OCT
16715,39566414,1992NOV
19504,40849861,1992DEC
18748,38529065,1993JAN
17391,36539132,1993FEB
17854,43775242,1993MAR
18869,43125070,1993APR
16850,44300992,1993MAY
18324,46334965,1993JUN
16981,49482654,1993JUL
16806,50934128,1993AUG
19233,43364388,1993SEP
17171,45930858,1993OCT
17237,42769377,1993NOV
19672,43872406,1993DEC
19146,40665800,1994JAN
18101,39264392,1994FEB
18528,48963885,1994MAR
18536,46124425,1994APR
16936,47883199,1994MAY
17764,50554571,1994JUN
16987,54026538,1994JUL
16366,54735918,1994AUG
18065,46918744,1994SEP
16928,49220347,1994OCT
16441,46742038,1994NOV
18377,47700305,1994DEC
18091,44687190,1995JAN
17528,41896823,1995FEB
16913,50985658,1995MAR
16936,49212746,1995APR
15917,49824307,1995MAY
17495,52881186,1995JUN
16394,54957670,1995JUL
16265,56585046,1995AUG
17431,47709592,1995SEP
16820,50595784,1995OCT
16000,48310520,1995NOV
17991,49158213,1995DEC
17737,45722827,1996JAN
17476,47130093,1996FEB
16990,55909079,1996MAR
17519,52390127,1996APR
16287,53777332,1996MAY
17996,56095234,1996JUN
16728,58058659,1996JUL
16652,59802408,1996AUG
17779,49758328,1996SEP
16887,53679750,1996OCT
16271,48464209,1996NOV
18064,53181172,1996DEC
18086,49228750,1997JAN
17138,47152265,1997FEB
17154,58163010,1997MAR
17574,53944329,1997APR
16396,55635847,1997MAY
18138,58172771,1997JUN
16689,61153800,1997JUL
16363,61907945,1997AUG
17656,51761004,1997SEP
16720,55026915,1997OCT
16040,51524528,1997NOV
18448,53801076,1997DEC
17996,49493435,1998JAN
16877,47935244,1998FEB
16651,58134392,1998MAR
17928,56871713,1998APR
16692,57787100,1998MAY
17446,60218576,1998JUN
16823,64890982,1998JUL
16609,62715323,1998AUG
17306,52507440,1998SEP
17240,56988546,1998OCT
16124,53904572,1998NOV
18289,55301435,1998DEC
18631,50996487,1999JAN
17049,49598613,1999FEB
17153,61104493,1999MAR
18089,58753327,1999APR
17157,59026650,1999MAY
18250,62607968,1999JUN
17671,66663065,1999JUL
16699,65309471,1999AUG
17983,55473871,1999SEP
17018,60425711,1999OCT
16463,58067248,1999NOV
18168,56156443,1999DEC
18212,51750091,2000JAN
17577,53589785,2000FEB
17795,64948291,2000MAR
19242,61998314,2000APR
19536,64349644,2000MAY
19991,67807620,2000JUN
18994,69852555,2000JUL
19499,68484270,2000AUG
19942,58107878,2000SEP
18558,62153577,2000OCT
18206,60213479,2000NOV
20018,57943798,2000DEC
20298,55108316,2001JAN
19937,52915977,2001FEB
20257,65068044,2001MAR
19727,62373365,2001APR
18470,62622321,2001MAY
21041,66193520,2001JUN
20477,69529176,2001JUL
20834,70133361,2001AUG
20999,38730506,2001SEP
17723,47746624,2001OCT
16975,48250267,2001NOV
18185,49816945,2001DEC
31941,47844272,2002JAN
32394,47055580,2002FEB
34265,59210469,2002MAR
35312,55059178,2002APR
36241,57283840,2002MAY
37271,60462592,2002JUN
17767,63263816,2002JUL
17477,63450360,2002AUG
18411,49890724,2002SEP
24583,58113746,2002OCT
23536,54351302,2002NOV
25969,60266707,2002DEC
25399,53399694,2003JAN
25458,50187136,2003FEB
24423,60504638,2003MAR
25751,56394469,2003APR
24230,58730501,2003MAY
25940,63367220,2003JUN
27070,68449976,2003JUL
27741,66720119,2003AUG
28160,54119709,2003SEP
27978,60225641,2003OCT
26728,56951134,2003NOV
22590,49866044.9,2003DEC
23049,44223734,2004JAN
20952,45343339,2004FEB
