Date,Consumption,Hour
18.12.2015,30070.5,S0
18.12.2015,28311.4,S1
18.12.2015,27351.3,S2
18.12.2015,26740.2,S3
18.12.2015,26526.4,S4
18.12.2015,27229.9,S5
18.12.2015,28318.7,S6
18.12.2015,29790.0,S7
18.12.2015,34310.7,S8
18.12.2015,37336.8,S9
18.12.2015,38017.5,S10
18.12.2015,38046.8,S11
18.12.2015,34804.9,S12
18.12.2015,36564.4,S13
18.12.2015,36651.8,S14
18.12.2015,36700.2,S15
18.12.2015,38494.2,S16
18.12.2015,39242.4,S17
18.12.2015,37278.7,S18
18.12.2015,35790.9,S19
18.12.2015,34920.0,S20
18.12.2015,34063.5,S21
18.12.2015,34135.8,S22
18.12.2015,32556.9,S23
19.12.2015,30381.7,S0
19.12.2015,28633.6,S1
19.12.2015,27237.8,S2
19.12.2015,26507.7,S3
19.12.2015,26568.5,S4
19.12.2015,26855.1,S5
19.12.2015,27142.9,S6
19.12.2015,27768.3,S7
19.12.2015,31651.8,S8
19.12.2015,34988.5,S9
19.12.2015,36260.6,S10
19.12.2015,36664.8,S11
19.12.2015,35233.6,S12
19.12.2015,35110.6,S13
19.12.2015,34749.6,S14
19.12.2015,34276.0,S15
19.12.2015,35606.6,S16
19.12.2015,36343.5,S17
19.12.2015,35312.0,S18
19.12.2015,34226.4,S19
19.12.2015,33387.9,S20
19.12.2015,32607.9,S21
19.12.2015,32765.2,S22
19.12.2015,30718.3,S23
20.12.2015,29203.1,S0
20.12.2015,27520.7,S1
20.12.2015,26231.6,S2
20.12.2015,25366.7,S3
20.12.2015,25071.8,S4
20.12.2015,25327.8,S5
20.12.2015,25162.5,S6
20.12.2015,24649.8,S7
20.12.2015,25777.3,S8
20.12.2015,27753.8,S9
20.12.2015,29093.5,S10
20.12.2015,30240.5,S11
20.12.2015,29986.3,S12
20.12.2015,30038.5,S13
20.12.2015,29934.7,S14
20.12.2015,29961.2,S15
20.12.2015,31580.0,S16
20.12.2015,32977.6,S17
20.12.2015,32955.8,S18
20.12.2015,32477.9,S19
20.12.2015,32069.8,S20
20.12.2015,31471.3,S21
20.12.2015,31621.9,S22
20.12.2015,29965.6,S23
21.12.2015,27847.6,S0
21.12.2015,26246.6,S1
21.12.2015,25036.6,S2
21.12.2015,24554.6,S3
21.12.2015,24680.4,S4
21.12.2015,25212.5,S5
21.12.2015,26455.6,S6
21.12.2015,28443.4,S7
21.12.2015,33720.1,S8
21.12.2015,36998.5,S9
21.12.2015,38105.7,S10
21.12.2015,38413.8,S11
21.12.2015,36500.5,S12
21.12.2015,36988.6,S13
21.12.2015,37083.8,S14
21.12.2015,37227.3,S15
21.12.2015,38997.3,S16
21.12.2015,39603.3,S17
21.12.2015,37653.7,S18
21.12.2015,36180.7,S19
21.12.2015,35354.2,S20
21.12.2015,34457.9,S21
21.12.2015,34152.8,S22
21.12.2015,32672.9,S23
22.12.2015,30176.2,S0
22.12.2015,28451.6,S1
22.12.2015,27505.1,S2
22.12.2015,26774.5,S3
22.12.2015,26814.0,S4
22.12.2015,27264.3,S5
22.12.2015,27981.2,S6
22.12.2015,29611.4,S7
22.12.2015,34359.5,S8
22.12.2015,37037.8,S9
22.12.2015,37697.6,S10
22.12.2015,37977.8,S11
22.12.2015,35974.8,S12
22.12.2015,36312.8,S13
22.12.2015,36646.3,S14
22.12.2015,36992.4,S15
22.12.2015,38961.1,S16
22.12.2015,39142.7,S17
22.12.2015,37156.4,S18
22.12.2015,35827.4,S19
22.12.2015,35150.4,S20
22.12.2015,34266.7,S21
22.12.2015,34303.3,S22
22.12.2015,32628.3,S23
23.12.2015,29951.3,S0
23.12.2015,28350.7,S1
23.12.2015,27375.1,S2
23.12.2015,26954.1,S3
23.12.2015,26801.1,S4
23.12.2015,27276.3,S5
23.12.2015,28171.3,S6
23.12.2015,29730.7,S7
23.12.2015,34428.6,S8
23.12.2015,37360.2,S9
23.12.2015,38072.6,S10
23.12.2015,38268.7,S11
23.12.2015,36102.4,S12
23.12.2015,36603.3,S13
23.12.2015,36812.9,S14
23.12.2015,36905.7,S15
23.12.2015,38592.3,S16
23.12.2015,39384.9,S17
23.12.2015,37647.0,S18
23.12.2015,36284.0,S19
23.12.2015,35444.1,S20
23.12.2015,34558.0,S21
23.12.2015,34465.1,S22
23.12.2015,32634.2,S23
24.12.2015,30190.2,S0
24.12.2015,28476.9,S1
24.12.2015,27581.0,S2
24.12.2015,26675.3,S3
24.12.2015,26761.9,S4
24.12.2015,27328.2,S5
24.12.2015,28401.4,S6
24.12.2015,29866.6,S7
24.12.2015,34457.9,S8
24.12.2015,36809.7,S9
24.12.2015,37672.3,S10
24.12.2015,37966.4,S11
24.12.2015,35600.1,S12
24.12.2015,36219.2,S13
24.12.2015,36458.4,S14
24.12.2015,36635.9,S15
24.12.2015,38472.2,S16
24.12.2015,39472.0,S17
24.12.2015,37578.9,S18
24.12.2015,36290.5,S19
24.12.2015,35363.5,S20
24.12.2015,34457.5,S21
24.12.2015,34393.7,S22
24.12.2015,32743.6,S23
25.12.2015,30202.3,S0
25.12.2015,28513.7,S1
25.12.2015,27424.4,S2
25.12.2015,26729.2,S3
25.12.2015,26689.8,S4
25.12.2015,27245.1,S5
25.12.2015,28205.0,S6
25.12.2015,29774.6,S7
25.12.2015,34221.7,S8
25.12.2015,37216.4,S9
25.12.2015,37624.6,S10
25.12.2015,37496.3,S11
25.12.2015,34307.4,S12
25.12.2015,35725.3,S13
25.12.2015,36212.2,S14
25.12.2015,36234.4,S15
25.12.2015,38184.2,S16
25.12.2015,38742.8,S17
25.12.2015,36981.5,S18
25.12.2015,35550.7,S19
25.12.2015,34734.4,S20
25.12.2015,34017.1,S21
25.12.2015,33900.2,S22
25.12.2015,32559.7,S23
26.12.2015,30238.1,S0
26.12.2015,28623.5,S1
26.12.2015,27260.0,S2
26.12.2015,26531.5,S3
26.12.2015,26370.6,S4
26.12.2015,26773.2,S5
26.12.2015,26922.7,S6
26.12.2015,27424.8,S7
26.12.2015,31410.4,S8
26.12.2015,34382.4,S9
26.12.2015,35577.6,S10
26.12.2015,36217.2,S11
26.12.2015,34753.5,S12
26.12.2015,34586.3,S13
26.12.2015,34222.4,S14
26.12.2015,33675.1,S15
26.12.2015,35086.5,S16
26.12.2015,35918.0,S17
26.12.2015,35056.0,S18
26.12.2015,34184.4,S19
26.12.2015,33300.1,S20
26.12.2015,32708.8,S21
26.12.2015,32539.1,S22
26.12.2015,31043.6,S23
27.12.2015,28943.2,S0
27.12.2015,27297.5,S1
27.12.2015,25982.0,S2
27.12.2015,25274.1,S3
27.12.2015,24997.0,S4
27.12.2015,25036.7,S5
27.12.2015,24942.2,S6
27.12.2015,24320.2,S7
27.12.2015,25507.2,S8
27.12.2015,27536.5,S9
27.12.2015,28944.5,S10
27.12.2015,29690.8,S11
