TITLE,CHILDREN,PERS_H,AGE,TMADD,TMJOB1,TEL,NMBLOAN,FINLOAN,INCOME,EC_CARD,STATUS,BUREAU,LOCATION,LOANS,REGN,DIV,CASH,PRODUCT,RESID,NAT,PROF,CAR,CARDS,GB,_freq_
R,0,2,46,15.00,33.00,2.00,0.00,0.00,0.00,1.00,V,3.00,1.00,0,0,0.00,2000.00,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,0,30
H,4,6,34,144.00,54.00,2.00,1.00,1.00,3200.00,0.00,V,1.00,1.00,2,4,1.00,6000.00,,Owner,Turkish,,Car,no credit cards,1,1
H,3,5,31,108.00,120.00,2.00,1.00,1.00,3300.00,0.00,V,1.00,1.00,3,4,1.00,0.00,,Lease,Turkish,Others,Car,no credit cards,1,1
R,0,1,39,192.00,6.00,1.00,0.00,0.00,1500.00,0.00,W,1.00,1.00,1,0,0.00,2500.00,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,1,1
H,3,5,32,48.00,108.00,2.00,2.00,1.00,0.00,1.00,V,1.00,1.00,1,0,0.00,2500.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,Cheque card,0,30
H,0,1,23,192.00,60.00,2.00,2.00,1.00,0.00,1.00,U,1.00,1.00,1,0,0.00,700.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,1,1
R,0,2,42,144.00,30.00,2.00,0.00,0.00,1900.00,0.00,V,3.00,1.00,0,0,0.00,9000.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,0,30
H,2,4,35,54.00,168.00,2.00,0.00,0.00,0.00,1.00,V,1.00,1.00,2,0,0.00,1700.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Car,Cheque card,0,30
H,1,3,26,288.00,33.00,1.00,0.00,0.00,1700.00,1.00,V,3.00,1.00,0,0,0.00,800.00,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,1,1
H,1,2,24,18.00,30.00,2.00,2.00,1.00,3400.00,0.00,U,1.00,1.00,2,0,0.00,1000.00,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,1,1
R,0,1,20,240.00,9.00,2.00,0.00,0.00,0.00,1.00,U,3.00,1.00,0,0,0.00,4000.00,"Furniture,Carpet",Lease,German,"Civil Service, M",Without Vehicle,Cheque card,0,30
H,1,2,44,108.00,42.00,2.00,0.00,1.00,0.00,1.00,G,1.00,1.00,2,0,0.00,800.00,"Radio, TV, Hifi",Lease,German,"Civil Service, M",Car,Cheque card,0,30
H,0,1,23,36.00,12.00,2.00,0.00,0.00,1900.00,0.00,U,1.00,1.00,1,0,0.00,600.00,"Dept. Store,Mail",Lease,German,Others,Car,no credit cards,1,1
H,1,3,44,66.00,66.00,2.00,0.00,0.00,0.00,1.00,V,3.00,1.00,0,0,0.00,6000.00,"Furniture,Carpet",Lease,German,Self-employed pe,Car,Cheque card,1,1
H,6,8,36,30.00,12.00,2.00,2.00,1.00,3500.00,0.00,V,3.00,1.00,0,0,0.00,1000.00,"Dept. Store,Mail",Lease,German,Others,Car,no credit cards,0,30
H,1,3,25,312.00,15.00,1.00,0.00,0.00,3400.00,1.00,V,3.00,1.00,0,0,0.00,4000.00,"Furniture,Carpet",,German,Others,Car,Cheque card,1,1
R,0,1,54,9.00,108.00,2.00,0.00,0.00,1700.00,0.00,G,3.00,1.00,0,0,0.00,800.00,"Dept. Store,Mail",,German,"Civil Service, M",Without Vehicle,no credit cards,0,30
H,0,1,29,21.00,144.00,1.00,0.00,0.00,2300.00,0.00,U,3.00,1.00,0,0,0.00,2500.00,"Radio, TV, Hifi",Lease,German,"Civil Service, M",Without Vehicle,no credit cards,1,1
H,2,4,39,108.00,30.00,2.00,0.00,0.00,3000.00,0.00,V,1.00,1.00,1,0,0.00,5000.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,1,1
H,2,4,38,60.00,48.00,1.00,0.00,1.00,0.00,1.00,V,3.00,1.00,0,0,0.00,1000.00,"Dept. Store,Mail",Lease,German,"Food,Building,Ca",Car,Cheque card,0,30
R,0,2,35,72.00,18.00,1.00,0.00,0.00,0.00,1.00,V,3.00,1.00,0,0,0.00,1400.00,"Dept. Store,Mail",Lease,German,Others,Without Vehicle,Cheque card,0,30
H,0,1,20,240.00,9.00,2.00,0.00,0.00,2700.00,0.00,U,3.00,1.00,0,0,0.00,800.00,"Dept. Store,Mail",Lease,German,Others,Car,no credit cards,1,1
H,0,1,24,84.00,24.00,1.00,2.00,1.00,0.00,1.00,U,1.00,1.00,1,0,0.00,1200.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,0,30
H,0,2,24,30.00,27.00,1.00,0.00,0.00,1900.00,0.00,E,3.00,1.00,0,0,0.00,2500.00,"Furniture,Carpet",Owner,German,Others,Car,no credit cards,0,30
R,0,1,46,144.00,30.00,1.00,0.00,0.00,1500.00,0.00,G,3.00,1.00,0,0,0.00,900.00,"Radio, TV, Hifi",Lease,German,Others,Without Vehicle,no credit cards,1,1
R,5,7,39,108.00,54.00,1.00,0.00,1.00,0.00,1.00,V,3.00,1.00,0,0,0.00,1400.00,"Furniture,Carpet",Lease,German,Chemical Industr,Car,Cheque card,1,1
H,4,5,35,60.00,12.00,1.00,0.00,0.00,0.00,1.00,G,1.00,1.00,2,0,0.00,1000.00,"Dept. Store,Mail",Lease,German,Others,Car,Cheque card,0,30
H,0,2,30,42.00,168.00,1.00,0.00,1.00,3000.00,0.00,V,3.00,1.00,0,0,0.00,1600.00,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,1,1
H,2,4,30,96.00,21.00,2.00,0.00,1.00,0.00,1.00,V,1.00,1.00,3,0,0.00,600.00,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,0,30
R,1,3,25,30.00,30.00,2.00,0.00,0.00,0.00,1.00,V,3.00,1.00,0,0,0.00,500.00,"Dept. Store,Mail",Lease,German,Others,Car,Cheque card,0,30
H,0,1,22,264.00,66.00,2.00,0.00,0.00,1800.00,0.00,U,1.00,1.00,1,0,0.00,900.00,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,1,1
H,1,3,55,48.00,48.00,1.00,0.00,1.00,3300.00,0.00,V,1.00,1.00,1,0,0.00,1700.00,"Dept. Store,Mail",Lease,German,"Food,Building,Ca",Car,no credit cards,1,1
H,1,2,22,96.00,48.00,1.00,0.00,0.00,1600.00,0.00,U,1.00,1.00,0,3,1.00,4000.00,Leisure,Lease,German,"Food,Building,Ca",Without Vehicle,no credit cards,1,1
