STOREID,FASHION,LEISURE,STRETCH,ORIGINAL,SALESTOT
1,182,1528,496,2203,4409
2,129,2247,296,1890,4562
3,107,1652,267,2342,4368
4,117,1744,419,2119,4399
5,110,1736,755,1781,4382
6,79,1637,613,2138,4467
7,73,2484,468,1216,4241
8,64,2675,209,1504,4452
9,100,1795,561,1933,4389
10,126,1789,180,2405,4500
11,37,1528,41,1752,3358
12,106,1930,409,2064,4509
13,105,1969,643,1670,4387
14,1,1060,234,955,2250
15,78,2390,406,1428,4302
16,78,1631,3,1634,3346
17,139,1747,486,1997,4369
18,61,1918,303,2220,4502
19,68,1957,587,1812,4424
20,127,2175,319,1747,4368
21,102,2442,481,1364,4389
22,65,2226,188,1782,4261
23,87,2128,327,1813,4355
24,144,2024,503,1785,4456
25,68,1989,595,1881,4533
26,96,1717,863,1843,4519
27,78,2225,454,1693,4450
28,86,1543,713,2041,4383
29,69,1838,333,2090,4330
30,73,1746,274,2249,4342
31,66,2243,254,1949,4512
32,67,1726,269,2442,4504
33,87,2000,340,2056,4483
34,99,1792,500,2002,4393
35,97,2089,461,1733,4380
36,52,2589,279,1480,4400
37,76,1215,828,2312,4431
38,83,1503,13,1836,3435
39,91,1819,270,2276,4456
40,161,1613,709,2005,4488
41,45,1530,791,2056,4422
42,85,1610,632,2072,4399
43,112,2101,186,1940,4339
44,54,1864,768,1786,4472
45,73,2152,348,1835,4408
46,126,1376,800,2179,4481
47,65,1717,6,1584,3372
48,147,1932,382,1870,4331
49,46,1846,485,2033,4410
50,92,2649,162,1510,4413
51,83,2152,534,1649,4418
52,87,2014,787,1507,4395
53,50,1624,380,2286,4340
54,101,2047,468,1878,4494
55,127,1811,317,2023,4278
56,113,1943,367,1952,4375
57,91,2026,394,1922,4433
58,158,2532,258,1478,4426
59,109,1556,719,2010,4394
60,123,1472,1118,1627,4340
61,104,2232,339,1686,4361
62,2,1009,249,992,2252
63,67,1409,884,2038,4398
64,129,2528,304,1540,4501
65,61,1184,426,2715,4386
66,136,2256,307,1658,4357
67,99,1768,643,2004,4514
68,39,1874,659,1754,4326
69,105,1888,254,2105,4352
70,1,1057,227,863,2148
71,84,1698,616,2016,4414
72,66,2019,543,1803,4431
73,93,2525,371,1552,4541
74,102,2248,430,1579,4359
75,77,1544,24,1765,3410
