"Customer_ID","upsell_xsell","churn","lifetime_value","avg_arpu_3m","acct_age","billing_cycle","Est_HH_Income","cs_med_home_value","cs_pct_home_owner","forecast_region","data_device_age","equip_age","delinq_indicator","avg_days_susp","calls_in_pk","calls_in_offpk","calls_out_offpk","calls_out_pk","mou_total_pct_MOM","mou_onnet_pct_MOM","mou_roam_pct_MOM","mou_onnet_6m_normal","mou_roam_6m_normal","voice_tot_bill_mou_curr","tot_voice_chrgs_curr","bill_data_usg_m03","bill_data_usg_m06","bill_data_usg_m09","mb_data_usg_m01","mb_data_usg_m02","mb_data_usg_m03","mb_data_ndist_mo6m","mb_data_usg_roamm01","mb_data_usg_roamm02","mb_data_usg_roamm03","data_usage_amt","data_prem_chrgs_curr","nbr_data_cdrs","avg_data_chrgs_3m","avg_data_prem_chrgs_3m","avg_overage_chrgs_3m","calls_TS_acct","wrk_orders","days_openwrkorders","calls_care_acct","calls_care_3mavg_acct","calls_care_6mavg_acct","res_calls_3mavg_acct","res_calls_6mavg_acct","curr_days_susp","pymts_late_ltd","calls_care_ltd","MB_Data_Usg_M04","MB_Data_Usg_M05","MB_Data_Usg_M06","MB_Data_Usg_M07","MB_Data_Usg_M08","MB_Data_Usg_M09","nbr_contacts"
"       75322","           0","           1","      8083.6","       62.28","          38","           6","       20000","        1.14","        0.74","           9","         574","          35","           1","          10","        1093","         508","          66","          74","        1.37","       -0.61","         1.1","    -0.54476","    1.470918","        9606","       33.13","        2958","        3182","        1489","        2759","        2839","        3046"," 1.535996232","           0","           0","           0","          18","        2.87","        1924","       14.41","        2.72","        1.42","           0","           0","           0","         0.3","         0.3","         0.2","         0.3","         0.2","           4","           5","          48","           0","           0","           0","           0","           0","           0","           0"
"       76217","           0","           1","     15689.9","       76.32","          48","          11","       44400","        0.38","        0.43","          31","         633","          34","           1","           2","         435","         935","          92","         195","       -0.16","       -0.59","       -0.66","    -0.63909","    -0.67434","        5421","       49.99","        4811","        2542","        3338","        4772","        4907","        4576","-0.540269895","           0","           0","           0","           4","           0","        2014","         0.1","           0","           0","           6","           0","           0","           0","           0","           0","           0","           0","           0","           5","         143","           0","           0","           0","           0","           0","           0","           0"
"       76236","           0","           1","     4059.83","       79.99","          23","           7","       45500","        0.33","        0.51","           0","         114","          23","           1","           4","         162","         189","          33","          25","        0.01","       -0.51","        -0.7","    -0.52826","    -0.53452","        2251","       49.99","         962","        1764","        2259","        1038","        1021","        1076"," 0.029850947","         289","         254","         333","          19","           0","        1542","         0.2","           0","           0","           7","           0","           0","           0","           0","           0","           0","           0","           0","           5","         194","           0","           0","           0","           0","           0","           0","           0"
"       76288","           0","           1","        6472","       53.03","          41","          11","       30700","         3.8","        0.49","          56","        1365","          30","           1","           0","         268","         415","          24","          10","        0.25","       -0.65","       -0.53","    -0.53435","    -0.45753","        4466","       34.99","         854","        2650","        1325","         913","         869","         738"," 0.814077327","           0","           0","         360","          30","           0","          31","        4.72","           0","           0","           2","           0","           0","           0","           0","           0","           0","           0","           1","           5","          57","           0","           0","           0","           0","           0","           0","           0"
"       76706","           0","           0","     11911.8","       51.78","          46","           7","       22400","        1.64","        0.87","          55","         982","           6","           1","           0","         301","         372","          64","          87","        0.07","       -0.61","       -0.59","    -0.63408","    -0.62586","        6848","        29.3","        1902","        3183","        2136","        1963","        1789","        1897"," 0.362453853","         960","         420","          60","          30","        1.64","        1098","        8.32","        1.72","        1.63","           0","           0","           0","           0","           0","           0","           0","           0","           1","           5","          48","           0","           0","           0","           0","           0","           0","           0"
"       76708","           0","           0","       964.6","       51.78","          46","           7","       44700","        0.96","         0.8","          38","         982","          22","           1","           0","          53","          51","          17","          17","       -0.17","       -0.55","       -0.71","     -0.4909","    -0.60491","        1157","        29.3","         899","         970","         734","         850","         916","         954","-0.559232789","           0","           0","         300","          16","        1.64","        1098","        8.32","        1.72","        1.63","           0","           0","           0","           0","           0","           0","           0","           0","           1","           5","          57","           0","           0","           0","           0","           0","           0","           0"
"       76717","           0","           0","     1222.13","       51.78","          46","           7","       11200","        2.65","        0.72","          72","         982","          24","           0","           0","          48","          61","          11","          10","        1.26","       -0.35","        0.23","    -0.33202","    0.271203","        1342","        29.3","        1020","        1590","        1023","        1197","         962","        1132"," 2.573653176","           0","           0","           0","          22","        1.64","        1098","        8.32","        1.72","        1.63","           3","           0","           0","         0.3","         0.3","         0.2","         0.3","         0.2","           1","           5","         190","           0","           0","           0","           0","           0","           0","           0"
"       76720","           0","           0","       209.6","       66.05","          51","           2","       29600","         0.6","        0.46","          91","           2","           4","           1","          10","          24","           1","           1","           0","       16.25","       77.63","        7.65","    50.18082","    7.927974","          95","       34.99","         335","         429","         335","         255","         436","         382"," 9.381941874","           0","           0","           0","          11","       30.96","        2542","       40.97","       19.48","           0","          21","           0","           0","         0.7","         0.7","         0.3","         0.7","         0.3","           1","           5","          57","           0","           0","           0","           0","           0","           0","           0"
"       76721","           0","           0","      2296.1","       95.43","          32","           5","       30600","        1.39","        0.23","          24","        2480","          36","           1","           0","          86","          81","          31","          26","        0.56","       -0.58","        -0.5","     -0.4015","    -0.40656","         802","       39.99","        1075","        1017","        1017","        1175","        1014","        1155"," 1.502130168","           0","           0","           0","           1","           0","        1839","         0.2","           0","           0","           6","           0","           0","           0","           0","           0","           0","           0","           1","           5","          76","           0","           0","           0","           0","           0","           0","           0"
"       76727","           1","           0","      2191.8","       35.66","          45","          11","       18100","        2.74","        0.57","          90","        1353","           0","           1","          11","         460","         637","          11","         110","       -0.37","       -0.63","       -0.79","    -0.75152","    -0.65537","        6636","        22.5","        2161","        2119","        2154","        2254","        2257","        2221","-0.477956799","           0","           0","           0","           3","           0","         718","        12.5","           0","           0","           9","           0","           0","           0","           0","           0","           0","           0","           0","           5","          80","           0","           0","           0","           0","           0","           0","           0"
