Tarih,Price2
31/12/2019,14.46
30/12/2019,14.31
27/12/2019,13.95
26/12/2019,13.96
25/12/2019,13.97
24/12/2019,13.99
23/12/2019,13.78
20/12/2019,13.76
19/12/2019,13.76
18/12/2019,13.74
17/12/2019,13.91
16/12/2019,14.01
13/12/2019,13.82
12/12/2019,14.06
11/12/2019,13.59
10/12/2019,13.71
09/12/2019,13.8
06/12/2019,13.72
05/12/2019,13.77
04/12/2019,13.76
03/12/2019,13.61
02/12/2019,13.89
29/11/2019,13.66
28/11/2019,13.82
27/11/2019,13.57
26/11/2019,13.74
25/11/2019,13.44
22/11/2019,13.64
21/11/2019,13.75
20/11/2019,13.95
19/11/2019,14.12
18/11/2019,14.22
15/11/2019,13.69
14/11/2019,13.61
13/11/2019,13.69
12/11/2019,13.34
11/11/2019,12.99
08/11/2019,12.8
07/11/2019,12.66
06/11/2019,11.94
05/11/2019,11.86
04/11/2019,11.83
01/11/2019,11.57
31/10/2019,11.64
30/10/2019,11.63
28/10/2019,11.84
25/10/2019,11.9
24/10/2019,11.81
23/10/2019,11.9
22/10/2019,11.57
21/10/2019,11.47
18/10/2019,11.54
17/10/2019,11.11
16/10/2019,10.74
15/10/2019,11.06
14/10/2019,10.86
11/10/2019,11.62
10/10/2019,11.59
09/10/2019,11.64
08/10/2019,11.87
07/10/2019,11.98
04/10/2019,11.87
03/10/2019,11.75
02/10/2019,11.84
01/10/2019,11.78
30/09/2019,12.38
27/09/2019,12.1
26/09/2019,11.59
25/09/2019,11.74
24/09/2019,11.67
23/09/2019,11.4
20/09/2019,11.39
19/09/2019,11.48
18/09/2019,11.79
17/09/2019,11.82
16/09/2019,11.86
13/09/2019,12.34
12/09/2019,11.99
11/09/2019,12.18
10/09/2019,12.2
09/09/2019,11.84
06/09/2019,11.65
05/09/2019,11.89
04/09/2019,11.49
03/09/2019,11.51
02/09/2019,11.51
29/08/2019,11.3
28/08/2019,11.34
27/08/2019,11.54
26/08/2019,11.57
23/08/2019,11.19
22/08/2019,11.24
21/08/2019,11.13
20/08/2019,11.25
19/08/2019,11.18
16/08/2019,11.4
15/08/2019,11.76
09/08/2019,12.12
08/08/2019,12.03
07/08/2019,11.97
06/08/2019,12.37
05/08/2019,12.5
02/08/2019,12.31
01/08/2019,12.43
31/07/2019,12.46
30/07/2019,12.73
29/07/2019,12.77
26/07/2019,12.76
25/07/2019,12.68
24/07/2019,12.96
23/07/2019,13.04
22/07/2019,12.75
19/07/2019,12.95
18/07/2019,13.04
17/07/2019,12.74
16/07/2019,12.41
12/07/2019,11.95
11/07/2019,12.28
10/07/2019,12.38
09/07/2019,12.27
08/07/2019,12.94
05/07/2019,13.34
04/07/2019,13.41
03/07/2019,13.19
02/07/2019,13.45
01/07/2019,13.17
28/06/2019,12.89
27/06/2019,12.66
26/06/2019,12.47
25/06/2019,12.77
24/06/2019,12.89
21/06/2019,12.83
20/06/2019,12.98
19/06/2019,12.97
18/06/2019,13.22
17/06/2019,13.02
14/06/2019,12.68
13/06/2019,12.65
12/06/2019,12.95
11/06/2019,12.92
10/06/2019,13.26
07/06/2019,13.03
03/06/2019,12.44
31/05/2019,12.49
30/05/2019,12.45
29/05/2019,12.13
28/05/2019,12.08
27/05/2019,11.86
24/05/2019,11.96
23/05/2019,11.8
22/05/2019,11.26
21/05/2019,11.71
20/05/2019,12.09
17/05/2019,12.02
16/05/2019,12.27
15/05/2019,12.1
14/05/2019,12.5
13/05/2019,12.36
10/05/2019,12.15
09/05/2019,12.46
08/05/2019,12.96
07/05/2019,13.52
06/05/2019,13.8
03/05/2019,13.9
02/05/2019,14.07
30/04/2019,14.31
29/04/2019,14.22
26/04/2019,13.92
25/04/2019,13.73
24/04/2019,14.04
22/04/2019,13.93
19/04/2019,14.15
18/04/2019,14.33
17/04/2019,14.35
16/04/2019,14.35
15/04/2019,13.94
12/04/2019,13.89
11/04/2019,14.03
10/04/2019,13.97
09/04/2019,14.46
08/04/2019,14.16
05/04/2019,14.55
04/04/2019,14.31
03/04/2019,13.4
02/04/2019,12.97
01/04/2019,13
29/03/2019,12.93
28/03/2019,12.6
27/03/2019,12.73
26/03/2019,13.48
25/03/2019,14.06
22/03/2019,13.49
21/03/2019,14.14
20/03/2019,14.22
19/03/2019,14.2
18/03/2019,13.97
15/03/2019,12.98
14/03/2019,13.03
13/03/2019,12.76
12/03/2019,13.1
11/03/2019,12.96
08/03/2019,13.21
07/03/2019,13.7
06/03/2019,14.11
05/03/2019,14.27
04/03/2019,13.91
01/03/2019,13.97
28/02/2019,14.14
27/02/2019,14
26/02/2019,14.39
25/02/2019,14.03
22/02/2019,14.12
21/02/2019,13.64
20/02/2019,13.43
19/02/2019,13.34
18/02/2019,13.34
15/02/2019,13.69
14/02/2019,14.16
13/02/2019,13.8
12/02/2019,14.45
11/02/2019,15.24
08/02/2019,14.71
07/02/2019,14.65
06/02/2019,14.85
05/02/2019,14.51
04/02/2019,14.95
01/02/2019,14.76
31/01/2019,15.42
30/01/2019,15.81
29/01/2019,15.2
28/01/2019,15.06
25/01/2019,14.67
24/01/2019,14.76
23/01/2019,14.69
22/01/2019,14.4
21/01/2019,14.54
18/01/2019,14.44
17/01/2019,14.17
16/01/2019,14.39
15/01/2019,14.59
14/01/2019,15.03
11/01/2019,15.08
10/01/2019,14.96
09/01/2019,14.95
08/01/2019,15.11
07/01/2019,15.06
04/01/2019,15.11
03/01/2019,15.14
02/01/2019,15.72
31/12/2018,16.11
28/12/2018,16.01
27/12/2018,16.25
26/12/2018,16.16
25/12/2018,16.18
24/12/2018,16.16
21/12/2018,16.33
20/12/2018,16.37
19/12/2018,16.17
18/12/2018,15.41
17/12/2018,14.69
14/12/2018,14.96
13/12/2018,15.4
12/12/2018,15.25
11/12/2018,15.96
10/12/2018,16.1
07/12/2018,16.19
06/12/2018,16.39
05/12/2018,16.33
04/12/2018,15.96
03/12/2018,16.3
30/11/2018,17
29/11/2018,16.95
28/11/2018,17.23
27/11/2018,17.08
26/11/2018,17.11
23/11/2018,16.89
22/11/2018,16.29
21/11/2018,16.4
20/11/2018,15.85
19/11/2018,16.35
16/11/2018,15.97
15/11/2018,16.18
14/11/2018,16.2
13/11/2018,15.49
12/11/2018,14.78
09/11/2018,15.17
08/11/2018,14.65
07/11/2018,15.59
06/11/2018,14.72
05/11/2018,15.28
02/11/2018,15.23
01/11/2018,14.6
31/10/2018,14.05
30/10/2018,14.6
26/10/2018,15.46
25/10/2018,15.94
24/10/2018,15.54
23/10/2018,15.53
22/10/2018,15.72
19/10/2018,16.19
18/10/2018,16.55
17/10/2018,16.55
16/10/2018,17.43
15/10/2018,18.08
12/10/2018,17.49
11/10/2018,16.5
10/10/2018,16.7
09/10/2018,17.57
08/10/2018,17.83
05/10/2018,17.57
04/10/2018,17.08
03/10/2018,17.74
02/10/2018,18.08
01/10/2018,18.62
28/09/2018,19.09
27/09/2018,19.1
26/09/2018,19.22
25/09/2018,18.84
24/09/2018,19.19
21/09/2018,18.53
20/09/2018,18.12
19/09/2018,18.4
18/09/2018,18.2
17/09/2018,17.66
14/09/2018,17.73
13/09/2018,18.19
12/09/2018,18
11/09/2018,17.95
10/09/2018,17
07/09/2018,17.15
06/09/2018,17.06
05/09/2018,17.2
04/09/2018,16.97
03/09/2018,17.11
31/08/2018,16.28
29/08/2018,16.56
28/08/2018,16.77
27/08/2018,16.48
20/08/2018,16
17/08/2018,15.37
16/08/2018,15.52
15/08/2018,15.89
14/08/2018,17.2
