PassengerId,Survived,Pclass,Age,Gender,Fare
1,0,3,22,male,7.25
2,1,1,38,female,71.2833
3,1,3,26,female,7.925
4,1,1,35,female,53.1
5,0,3,35,male,8.05
6,0,3,,male,8.4583
7,0,1,54,male,51.8625
8,0,3,2,male,21.075
9,1,3,27,female,11.1333
10,1,2,14,female,30.0708
11,1,3,4,female,16.7
12,1,1,58,female,26.55
13,0,3,20,male,8.05
14,0,3,39,male,31.275
15,0,3,14,female,7.8542
16,1,2,55,female,16
17,0,3,2,male,29.125
18,1,2,,male,13
19,0,3,31,female,18
20,1,3,,female,7.225
21,0,2,35,male,26
22,1,2,34,male,13
23,1,3,15,female,8.0292
24,1,1,28,male,35.5
25,0,3,8,female,21.075
26,1,3,38,female,31.3875
27,0,3,,male,7.225
28,0,1,19,male,263
29,1,3,,female,7.8792
30,0,3,,male,7.8958
31,0,1,40,male,27.7208
32,1,1,,female,146.5208
33,1,3,,female,7.75
34,0,2,66,male,10.5
35,0,1,28,male,82.1708
36,0,1,42,male,52
37,1,3,,male,7.2292
38,0,3,21,male,8.05
39,0,3,18,female,18
40,1,3,14,female,11.2417
41,0,3,40,female,9.475
42,0,2,27,female,21
43,0,3,,male,7.8958
44,1,2,3,female,41.5792
45,1,3,19,female,7.8792
46,0,3,,male,8.05
47,0,3,,male,15.5
48,1,3,,female,7.75
49,0,3,,male,21.6792
50,0,3,18,female,17.8
51,0,3,7,male,39.6875
52,0,3,21,male,7.8
53,1,1,49,female,76.7292
54,1,2,29,female,26
55,0,1,65,male,61.9792
56,1,1,,male,35.5
57,1,2,21,female,10.5
58,0,3,28.5,male,7.2292
59,1,2,5,female,27.75
60,0,3,11,male,46.9
61,0,3,22,male,7.2292
62,1,1,38,female,80
63,0,1,45,male,83.475
64,0,3,4,male,27.9
65,0,1,,male,27.7208
66,1,3,,male,15.2458
67,1,2,29,female,10.5
68,0,3,19,male,8.1583
69,1,3,17,female,7.925
70,0,3,26,male,8.6625
71,0,2,32,male,10.5
72,0,3,16,female,46.9
73,0,2,21,male,73.5
74,0,3,26,male,14.4542
75,1,3,32,male,56.4958
76,0,3,25,male,7.65
77,0,3,,male,7.8958
78,0,3,,male,8.05
79,1,2,0.83,male,29
80,1,3,30,female,12.475
81,0,3,22,male,9
82,1,3,29,male,9.5
83,1,3,,female,7.7875
84,0,1,28,male,47.1
85,1,2,17,female,10.5
86,1,3,33,female,15.85
87,0,3,16,male,34.375
88,0,3,,male,8.05
89,1,1,23,female,263
90,0,3,24,male,8.05
91,0,3,29,male,8.05
92,0,3,20,male,7.8542
93,0,1,46,male,61.175
94,0,3,26,male,20.575
95,0,3,59,male,7.25
96,0,3,,male,8.05
97,0,1,71,male,34.6542
98,1,1,23,male,63.3583
99,1,2,34,female,23
100,0,2,34,male,26
101,0,3,28,female,7.8958
102,0,3,,male,7.8958
103,0,1,21,male,77.2875
104,0,3,33,male,8.6542
105,0,3,37,male,7.925
106,0,3,28,male,7.8958
107,1,3,21,female,7.65
108,1,3,,male,7.775
109,0,3,38,male,7.8958
110,1,3,,female,24.15
111,0,1,47,male,52
112,0,3,14.5,female,14.4542
113,0,3,22,male,8.05
114,0,3,20,female,9.825
115,0,3,17,female,14.4583
