Date,Price
20191010,5.8365
20191009,5.8712
20191008,5.8311
20191007,5.8328
20191004,5.6962
20191003,5.6947
20191002,5.702
20191001,5.7231
20190930,5.6489
20190927,5.6708
20190926,5.6655
20190925,5.6706
20190924,5.6973
20190923,5.7174
20190920,5.7439
20190919,5.7187
20190918,5.6768
20190917,5.7016
20190916,5.729
20190913,5.6861
20190912,5.6566
20190911,5.7515
20190910,5.7683
20190909,5.75
20190906,5.7155
20190905,5.6917
20190904,5.667
20190903,5.7293
20190902,5.8068
20190830,5.8306
20190829,5.84
20190828,5.8134
20190827,5.8275
20190826,5.8252
20190823,5.7599
20190822,5.7688
20190821,5.7162
20190820,5.729
20190819,5.6609
20190816,5.5785
20190815,5.568
20190814,5.6128
20190813,5.5629
20190812,5.564
20190809,5.4917
20190808,5.4782
20190807,5.4938
20190806,5.5209
20190805,5.5715
20190802,5.5597
20190801,5.6039
20190731,5.5864
20190730,5.5597
20190729,5.6148
20190726,5.6718
20190725,5.7027
20190724,5.7085
20190723,5.7178
20190722,5.677
20190719,5.6551
20190718,5.6181
20190717,5.6842
20190716,5.7118
20190715,5.7148
20190712,5.72
20190711,5.6734
20190710,5.6741
20190709,5.7322
20190708,5.7367
20190705,5.6288
20190704,5.5953
20190703,5.6249
20190702,5.6528
20190701,5.6507
20190628,5.7921
20190627,5.7725
20190626,5.7749
20190625,5.7949
20190624,5.809
20190621,5.8214
20190620,5.7644
20190619,5.7914
20190618,5.8284
20190617,5.8733
20190614,5.9015
20190613,5.8682
20190612,5.808
20190611,5.7976
20190610,5.7747
20190607,5.831
20190606,5.7801
20190605,5.731
20190604,5.7824
20190603,5.8339
20190531,5.8382
20190530,5.8772
20190529,6.0121
20190528,6.0319
20190527,6.0629
20190524,6.0825
20190523,6.0964
20190522,6.1002
20190521,6.0525
20190520,6.0272
20190517,6.055
20190516,6.0457
20190515,6.0007
20190514,6.0306
20190513,6.0594
20190510,5.9851
20190509,6.1926
20190508,6.186
20190507,6.1511
20190506,6.0803
20190503,5.9648
20190502,5.9645
20190501,5.9665
20190430,5.9656
20190429,5.9483
20190426,5.9382
20190425,5.9268
20190424,5.8753
20190423,5.8287
20190422,5.8272
20190419,5.8112
20190418,5.8018
20190417,5.7387
20190416,5.7703
20190415,5.8041
20190412,5.7693
20190411,5.7388
20190410,5.6818
20190409,5.6943
20190408,5.6903
20190405,5.6262
20190404,5.5925
20190403,5.626
20190402,5.605
20190401,5.4863
20190329,5.5555
20190328,5.561
20190327,5.3278
20190326,5.3279
20190325,5.5503
20190322,5.7627
20190321,5.4652
20190320,5.4208
20190319,5.4764
20190318,5.4683
20190315,5.4467
20190314,5.4671
20190313,5.4564
20190312,5.4572
20190311,5.4455
20190308,5.4303
20190307,5.4712
20190306,5.4288
20190305,5.387
20190304,5.3769
20190301,5.3742
20190228,5.3371
20190227,5.3136
20190226,5.3066
20190225,5.3026
20190222,5.3186
20190221,5.3214
20190220,5.3244
20190219,5.2828
20190218,5.3083
20190215,5.2714
20190214,5.2729
20190213,5.285
20190212,5.2516
20190211,5.2779
20190208,5.2474
20190207,5.2668
20190206,5.2168
20190205,5.1985
20190204,5.2182
20190201,5.2084
20190131,5.1645
20190130,5.2252
20190129,5.3098
20190128,5.3279
20190125,5.2688
20190124,5.265
20190123,5.286
20190122,5.3435
20190121,5.3247
20190118,5.3283
20190117,5.348
20190116,5.3363
20190115,5.4466
20190114,5.4447
20190111,5.455
20190110,5.4168
20190109,5.4768
20190108,5.4811
20190107,5.3848
20190104,5.3311
20190103,5.4664
20190102,5.4003
20190101,5.2933
20181231,5.2887
20181228,5.2725
20181227,5.285
20181226,5.2766
20181225,5.3101
20181224,5.289
20181221,5.3181
20181220,5.2649
20181219,5.2861
20181218,5.345
20181217,5.3686
20181214,5.3635
20181213,5.3392
20181212,5.3482
20181211,5.3653
20181210,5.3248
20181207,5.3029
20181206,5.3386
20181205,5.3262
20181204,5.3875
20181203,5.2501
20181130,5.2128
20181129,5.1631
20181128,5.2219
20181127,5.2716
20181126,5.2477
20181123,5.2875
20181122,5.296
20181121,5.308
20181120,5.3776
20181119,5.3075
20181116,5.3318
20181115,5.3481
20181114,5.4624
20181113,5.4776
20181112,5.4685
20181109,5.4606
20181108,5.4583
20181107,5.3612
20181106,5.356
20181105,5.3134
20181102,5.4296
20181101,5.5118
20181031,5.5835
20181030,5.4746
20181029,5.5611
20181026,5.5929
20181025,5.6345
20181024,5.7023
20181023,5.737
20181022,5.6689
20181019,5.6425
20181018,5.6425
20181017,5.5835
20181016,5.6856
20181015,5.7867
20181012,5.8721
20181011,5.9258
20181010,6.076
20181009,6.1011
20181008,6.1106
20181005,6.1333
20181004,6.1627
20181003,6.0458
20181002,5.9846
20181001,5.936
20180928,6.056
20180927,6.008
20180926,6.107
20180925,6.1618
20180924,6.1524
20180921,6.2937
20180920,6.196
20180919,6.2493
20180918,6.3846
20180917,6.3144
20180914,6.1703
20180913,6.0812
20180912,6.342
20180911,6.4302
20180910,6.4616
20180907,6.397
20180906,6.5827
20180905,6.6011
20180904,6.6711
20180903,6.634
20180831,6.538
20180830,6.6519
20180829,6.4752
20180828,6.273
20180827,6.1217
20180824,6.0068
20180823,6.1247
20180822,6.0512
20180821,6.0758
20180820,6.0808
20180817,6.014
20180816,5.827
20180815,5.9905
20180814,6.3544
20180813,6.8834
20180810,6.4275
20180809,5.5457
